threshold,precision,recall,f1,balanced_accuracy
0.7899999999999999,0.8349514563106796,0.5095541401273885,0.6328764603072394,0.7068695034862672
0.7999999999999999,0.836996789330699,0.501999703747593,0.6275925925925926,0.7045013313721761
0.8099999999999999,0.8369346733668341,0.49340838394311953,0.6208181902898146,0.7009806468116331
0.82,0.8360194423126119,0.4840764331210191,0.6131332082551595,0.6968782898309055
0.83,0.8356524022053032,0.4714857058213598,0.602840909090909,0.6916397107379308
0.84,0.8336968375136314,0.45296993038068434,0.5870045109895383,0.6835090598782385
0.8499999999999999,0.8357021034678794,0.4354910383646867,0.5725971370143149,0.6770240875915303
0.8599999999999999,0.8378295524218271,0.40482891423492817,0.5458903425546789,0.6651451884123774
0.8699999999999999,0.8436853002070394,0.3621685676196119,0.5067882682143228,0.6491693901927846
0.8799999999999999,0.8491789109766638,0.29106798992741817,0.4335355763927192,0.6209461409408825
0.8899999999999999,0.8541442411194833,0.2350762849948156,0.3686839354164247,0.5984455681702273
0.8999999999999999,0.8505957836846929,0.13746111687157458,0.23667431777607753,0.5572468329179628
0.9099999999999999,0.8358662613981763,0.040734705969486,0.07768361581920905,0.5165629285800649
0.9199999999999999,0.7,0.002073766849355651,0.004135282823807414,0.5006141696019358
0.9299999999999999,0.0,0.0,0.0,0.5
0.94,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
